CÓDIGO,DESCRIÇÃO,DT_INI,DT_FIM,TIPO,CONTA SUPERIOR,NÍVEL,NATUREZA,ORIENTAÇÕES,Voltar Indice
1,ATIVO,01012015,,S,,1,1,,
1.01,ATIVO CIRCULANTE,01012015,,S,1,2,1,,
1.01.01,DISPONIBILIDADES,01012015,,S,1.01,3,1,,
1.01.01.01,CAIXA GERAL,01012015,,S,1.01.01,4,1,,
1.01.01.01.01,Caixa Matriz,01012015,,A,1.01.01.01,5,1,"Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda não depositados, pagáveis irrestrita e imediatamente do estabelecimento matriz.",
1.01.01.01.02,Caixa Filiais,01012015,,A,1.01.01.01,5,1,"Contas que registram valores em dinheiro e em cheques em caixa, recebidos e ainda não depositados, pagáveis irrestrita e imediatamente dos estabelecimentos filiais.",
1.01.01.02,DEPÓSITOS BANCÁRIOS À VISTA,01012015,,S,1.01.01,4,1,,
1.01.01.02.01,Bancos Conta Movimento - No País,01012015,,A,1.01.01.02,5,1,"Contas que registram disponibilidades, mantidas em instituições financeiras no país, não classificáveis em outras contas deste plano referencial. Aplicações financeiras devem receber classificação entre as contas específicas de   instrumentos financeiros, p.ex. grupo 1.01.01.05.",
1.01.01.02.02,Bancos Conta Movimento - No Exterior,01012015,,A,1.01.01.02,5,1,"Contas que registram disponibilidades, mantidas em instituições financeiras no exterior, não classificáveis em outras contas deste plano referencial. Aplicações financeiras devem receber classificação entre as contas específicas de   instrumentos financeiros, p.ex. grupo 1.01.01.09.",
1.01.01.04,NUMERÁRIOS EM TRÂNSITO,01012015,,S,1.01.01,4,1,,
1.01.01.04.01,Numerários em Trânsito,01012015,,A,1.01.01.04,5,1,"Contas que registram valores de numerários em trânsito decorrentes de remessas e/ou recebimentos para filiais, depósitos ou semelhantes, por meio de cheques, ordem de pagamentos etc., ou, ainda, de clientes ou terceiros. ",
1.01.01.05,TÍTULOS E VALORES MOBILIÁRIOS - NÃO HEDGE - NO PAÍS,01012015,,S,1.01.01,4,1,,
1.01.01.05.01,Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.06. ",
1.01.01.05.02,Títulos Disponíveis para Venda - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo.",
1.01.01.05.03,Títulos Mantidos até o Vencimento - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio  no país, não derivativos, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimonias não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",
1.01.01.05.10,Debêntures emitidas por Partes Relacionadas - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram as debêntures emitidas por empresas com sede no país, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.01.01.05.11,Debêntures Emitidas por Partes Não Relacionadas - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram as debêntures emitidas por empresas com sede no país, não relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros. ",
1.01.01.05.15,Outros Empréstimos e Recebíveis - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram outros empréstimos e recebíveis cuja contraparte tenha sede ou domicílio no país e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenização, decorrente da exploração de serviços públicos, constumam receber esta classificação(item 22, OCPC 05).",
1.01.01.05.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Valores Mobiliários - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no país. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",
1.01.01.05.55,(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014).",
1.01.01.05.70,Subconta - Ajuste a Valor Justo - Valores Mobiliários – Não Hedge -No País,01012015,,A,1.01.01.05,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no país, inclusive decorrentes apenas de sua mensuração inicial ou efetuados nos objetos de hedge de valor justo. Os títulos para negociação e disponíveis para venda devem seguir a mensuração pelo valor justo até sua baixa. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 49/50,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.05.90,Subconta – Adoção Inicial -  Valores Mobiliários – Não Hedge - No País,01012015,,A,1.01.01.05,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.06,VALORES MOBILIÁRIOS - HEDGE - NO PAÍS,01012015,,S,1.01.01,4,1,,
1.01.01.06.01,Derivativos - Hedge Valor Justo - No País,01012015,,A,1.01.01.06,5,1,Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.,
1.01.01.06.02,Derivativos - Hedge Fluxo de Caixa - No País,01012015,,A,1.01.01.06,5,1,Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.,
1.01.01.06.03,Derivativos - Hedge Investimento no Exterior - No País,01012015,,A,1.01.01.06,5,1,Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no país. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.,
1.01.01.06.70,Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No País,01012015,,A,1.01.01.06,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no país, destinados a hedge, inclusive decorrentes apenas de sua mensuração inicial. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 51/52,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.06.90,Subconta – Adoção Inicial -  Valores Mobiliários – Hedge - No País,01012015,,A,1.01.01.06,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.09,TÍTULOS E VALORES MOBILIÁRIOS - NÃO HEDGE - NO EXTERIOR,01012015,,S,1.01.01,4,1,,
1.01.01.09.01,Títulos para Negociação - Mensurados a Valor Justo por Meio de Resultado (VJPR) - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.10.",
1.01.01.09.02,Títulos Disponíveis para Venda - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo. ",
1.01.01.09.03,Títulos Mantidos até o Vencimento - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, não derivativos, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimoniais não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",
1.01.01.09.10,Debêntures emitidas por Partes Relacionadas - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram as debêntures emitidas por empresas com sede no exterior, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.01.01.09.11,Debêntures emitidas por Partes Não Relacionadas - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram as debêntures emitidas por empresas com sede no exterior, não relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.01.01.09.15,Outros Empréstimos e Recebíveis - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram outros empréstimos e recebíveis cuja contraparte tenha sede ou domicílio   no exterior e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo.",
